Rk,School,Tourney Wins,W,L,W-L%,"SRS
▼",SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Gonzaga NCAA,3,33,4,0.892,27.79,5.01,16,0,17,0,9,1,3243,2400,1480,1177,2239,0.526,287,790,0.363,602,791,0.761,354,1443,668,278,204,394,603
2,Duke NCAA,3,32,6,0.842,26.9,11.98,14,4,15,2,7,2,3143,2576,1525,1157,2418,0.478,278,903,0.308,551,803,0.686,495,1567,606,346,257,488,595
3,Virginia NCAA,6,35,3,0.921,25.46,10.15,16,2,15,1,10,1,2714,2132,1535,974,2056,0.474,321,813,0.395,445,598,0.744,342,1326,544,211,149,342,542
4,Michigan State NCAA,4,32,7,0.821,24.93,12.34,16,4,15,1,8,4,3025,2534,1570,1071,2230,0.48,319,844,0.378,564,749,0.753,414,1579,715,201,205,493,647
5,North Carolina NCAA,2,29,7,0.806,23.94,11.35,16,2,14,2,11,1,3089,2636,1445,1118,2410,0.464,312,862,0.362,541,728,0.743,477,1589,678,252,120,473,611
6,Texas Tech NCAA,5,31,7,0.816,22.79,9.53,14,4,17,1,6,3,2765,2261,1530,990,2110,0.469,277,759,0.365,508,694,0.732,315,1297,518,278,186,457,663
7,Michigan NCAA,2,30,7,0.811,21.82,10.55,15,5,17,1,7,4,2575,2158,1480,941,2102,0.448,287,839,0.342,406,579,0.701,299,1307,512,225,149,334,514
8,Tennessee NCAA,2,31,6,0.838,21.55,10.16,15,3,18,0,7,3,3035,2580,1505,1106,2231,0.496,262,714,0.367,561,744,0.754,379,1391,660,221,199,412,654
9,Kentucky NCAA,3,30,7,0.811,21.43,10.29,15,3,17,1,8,2,2806,2394,1490,978,2050,0.477,215,607,0.354,635,859,0.739,427,1428,501,220,176,466,600
10,Purdue NCAA,3,26,10,0.722,21.4,11.99,16,4,15,0,6,6,2760,2421,1460,967,2145,0.451,365,977,0.374,461,641,0.719,421,1341,518,220,143,381,625
11,Auburn NCAA,4,30,10,0.75,20.84,10.92,11,7,15,2,4,6,3188,2750,1615,1097,2439,0.45,454,1204,0.377,540,760,0.711,457,1369,572,369,190,466,731
12,Virginia Tech NCAA,2,26,9,0.743,19.28,7.79,12,6,14,2,5,5,2574,2172,1410,893,1900,0.47,327,831,0.394,461,606,0.761,310,1142,531,236,78,392,532
