Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
1,Kansas,B12,28-3,30.32,115.7,9,85.4,2,67.3,231,0.04,79,12.75,2,107.6,24,94.8,1,9.81,10
2,Gonzaga,WCC,29-2,26.74,120.4,1,93.7,36,72.2,31,0.045,64,1.62,117,103.1,128,101.5,105,-2.06,245
3,Baylor,B12,26-4,25.46,113.5,18,88,4,66.2,280,0.016,145,10.15,27,106.6,38,96.4,12,1.21,142
4,Dayton,A10,29-2,25.03,119.1,2,94.1,39,67.5,220,0.002,180,2.82,104,104.2,102,101.4,102,-0.61,197
5,Duke,ACC,25-6,24.7,115.8,8,91.1,12,71.9,35,-0.009,212,7.4,52,106.1,49,98.7,58,2.71,81
6,San Diego St.,MWC,30-2,24.47,115.1,11,90.6,10,64.6,332,-0.008,206,2.96,101,105.3,72,102.4,136,-1.85,239
7,Michigan St.,B10,22-9,24.03,115.3,10,91.3,13,69.1,129,-0.012,218,12.04,7,108.6,6,96.6,14,1.85,107
8,Ohio St.,B10,21-10,22.22,114.3,14,92.1,20,66.2,281,-0.038,278,11.09,17,108.1,13,97,19,-1.22,223
9,Louisville,ACC,24-7,21.33,114.5,13,93.2,31,67.1,242,-0.003,193,7.09,58,105.3,74,98.2,46,-1.2,221
10,West Virginia,B12,21-10,21.24,108.3,68,87.1,3,69.4,112,-0.028,258,11.25,15,107.3,27,96.1,8,5.72,32
11,Maryland,B10,24-7,21.1,113.6,17,92.5,23,67,243,0.037,88,11.32,14,108,17,96.6,15,-0.43,192
12,BYU,WCC,24-7,21,118,5,97,74,69.5,104,-0.01,216,5.75,75,105.7,61,100,85,7.54,18
13,Creighton,BE,24-7,20.96,118.3,3,97.3,78,68.3,179,0.072,23,10.75,20,108,16,97.2,22,2.77,80
14,Houston,Amer,23-8,20.42,112.8,22,92.4,21,65.7,301,-0.052,305,6.36,66,104.3,99,97.9,38,2.61,86
15,Florida St.,ACC,26-5,20.19,111.7,32,91.5,14,69.9,90,0.065,34,7.94,46,106.4,45,98.4,51,1.24,138
16,Michigan,B10,19-12,20.13,113.2,20,93.1,29,68.7,150,-0.048,298,12.8,1,110.2,1,97.4,27,2.04,102
17,Oregon,P12,24-7,20.04,117.2,7,97.1,75,65,318,0.023,122,8.19,43,105.7,65,97.5,30,4.09,54
18,Villanova,BE,24-7,20,114,16,94,37,66.2,278,0.082,17,10.9,18,108.3,11,97.4,23,4.25,50
19,Seton Hall,BE,21-9,19.57,112.3,29,92.7,26,69.8,92,0.006,169,11.5,11,108.5,9,97,18,4.89,42
20,Arizona,P12,20-11,19.5,111.1,36,91.6,15,69.1,131,-0.088,334,7.49,51,106.5,39,99,67,2.42,92
21,Texas Tech,B12,18-13,19.28,109.8,47,90.5,9,67.3,234,-0.113,345,8.72,37,106.1,50,97.4,25,-3.9,295
22,Wisconsin,B10,21-10,18.94,110.8,40,91.8,18,63.7,342,0.031,103,11.73,10,108.8,2,97,21,1.72,115
23,Iowa,B10,20-11,18.59,117.3,6,98.7,98,70.2,75,0.005,171,12.22,5,108.7,4,96.4,13,2.26,95
24,Purdue,B10,16-15,18.56,109.4,51,90.8,11,64.5,333,-0.104,343,12.17,6,108.5,8,96.3,11,2.81,78
25,Butler,BE,22-9,18.46,112.7,25,94.2,41,63.7,341,0.032,101,10.3,26,107.8,21,97.5,29,1.24,137
26,Penn St.,B10,21-10,17.9,110.4,43,92.5,22,70.9,53,0.014,148,10.72,22,108.2,12,97.5,32,-4.11,303
27,Rutgers,B10,20-11,17.73,108,70,90.3,6,67.4,226,-0.042,282,9.89,31,107.4,25,97.5,34,-4.45,308
28,Kentucky,SEC,25-6,17.54,112.7,24,95.1,52,67.6,214,0.018,140,6.3,68,105.9,56,99.7,78,-1.02,211
29,Minnesota,B10,14-16,17.42,112,31,94.5,45,66.8,255,-0.136,350,12.73,3,108.7,3,96,7,2.9,75
30,Illinois,B10,21-10,17.25,111,38,93.7,35,66,291,0.022,125,10.4,25,107.8,20,97.4,24,-5.73,332
31,Marquette,BE,18-12,17.15,114,15,96.9,73,70.7,59,-0.046,290,10.73,21,107.7,22,97,20,1.89,106
32,Colorado,P12,21-10,16.85,109.5,48,92.7,25,68,193,-0.006,200,7.51,50,105.7,64,98.2,45,2.71,82
33,Florida,SEC,19-12,16.79,112.6,27,95.8,60,64.9,325,-0.047,294,8.83,36,107.8,19,99,66,6.98,22
34,Auburn,SEC,25-6,15.89,111.4,34,95.5,56,69.2,124,0.103,7,6.66,63,107,32,100.4,91,1.32,133
35,Oklahoma,B12,19-12,15.74,108.8,58,93,28,69.6,98,0.031,104,12.26,4,107.6,23,95.4,3,5.98,30
36,LSU,SEC,21-10,15.59,118.1,4,102.5,182,70,86,-0.02,238,7.17,54,105.8,59,98.6,55,1.9,105
37,Saint Mary's,WCC,25-7,15.42,114.8,12,99.4,110,64.1,339,0.038,86,3.05,100,104.5,92,101.5,104,-0.41,190
38,Stanford,P12,20-11,15.29,105.6,122,90.3,7,68.2,187,-0.081,331,5.02,79,104.2,101,99.2,69,-4.04,298
39,Wichita St.,Amer,23-8,15.24,105.7,119,90.4,8,69.5,102,0.041,78,4.84,80,103.8,107,98.9,65,-1.16,220
40,Indiana,B10,19-12,15.21,108.3,67,93.1,30,67.6,215,0.019,138,11.1,16,108.6,5,97.5,33,-0.7,200
41,Providence,BE,19-12,15.04,107.8,76,92.8,27,68.4,172,-0.008,207,8.9,35,106.8,37,97.9,39,-1.05,212
42,Utah St.,MWC,26-8,14.94,109.5,49,94.6,46,67.4,227,0.034,96,3.11,99,105.2,80,102.1,124,1.64,119
43,Xavier,BE,19-12,14.37,106.2,102,91.8,16,68.1,189,-0.001,190,10.03,30,108.6,7,98.5,52,1.81,110
44,Virginia,ACC,23-7,14.3,99.3,234,85,1,59.4,353,0.109,6,6.99,60,105.7,62,98.7,57,-3.57,289
45,Cincinnati,Amer,20-10,14.08,108.9,56,94.8,50,68,198,-0.013,219,6.58,64,104.5,93,97.9,37,3.72,62
46,Richmond,A10,24-7,14,109.3,54,95.3,53,69.3,122,0.044,68,2.01,112,104.4,97,102.4,135,-0.72,201
